"weight";"word"
"1";"flattery"
"2";"bows"
"0";"bound"
"0";"falls"
"1";"folly"
"1";"reverse"
"0";"doom"
"2";"consideration"
"0";"check"
"0";"hideous"
"1";"rashness"
"2";"judgment"
"2";"hearted"
"2";"reverbs"
"4";"hollowness"
"0";"held"
"4";"pawn"
"2";"wage"
"1";"enemies"
"0";"fear"
"0";"lose"
"0";"safety"
"0";"motive"
"0";"blank"
"0";"eye"
"4";"apollo"
"0";"swear"
"10";"gods"
"0";"vain"
"2";"vassal"
"2";"miscreant"
"2";"lays"
"0";"sword"
"116";"alb"
"114";"corn"
"0";"forbear"
"0";"kill"
"1";"physician"
"0";"fee"
"1";"bestow"
"0";"foul"
"2";"disease"
"2";"revoke"
"1";"gift"
"2";"vent"
"3";"clamour"
"0";"throat"
"0";"dost"
"1";"evil"
"0";"hear"
"2";"recreant"
"1";"allegiance"
"0";"hast"
"3";"sought"
"0";"break"
"0";"vow"
"4";"durst"
"0";"strain"
"0";"sentence"
"0";"place"
"0";"bear"
"1";"potency"
"2";"reward"
"0";"days"
"2";"allot"
"3";"provision"
"2";"shield"
"1";"diseases"
"2";"sixth"
"0";"turn"
"3";"hated"
"2";"tenth"
"0";"day"
"3";"banish"
"2";"trunk"
"1";"dominions"
"0";"moment"
"4";"jupiter"
"2";"revok"
"8";"fare"
"0";"wilt"
"2";"freedom"
"0";"lives"
"3";"banishment"
"2";"shelter"
"0";"maid"
"0";"justly"
"0";"rightly"
"2";"speeches"
"0";"deeds"
"0";"approve"
"1";"spring"
"5";"bids"
"0";"adieu"
"0";"shape"
"0";"country"
"0";"exit"
"4";"flourish"
"1";"address"
"2";"rivall"
"4";"require"
"1";"quest"
"10";"bur"
"0";"crave"
"2";"offer"
"0";"tender"
"0";"price"
"0";"aught"
"0";"substance"
"2";"displeasure"
"2";"piec"
"4";"fitly"
"2";"infirmities"
"2";"owes"
"2";"unfriended"
"0";"hate"
"4";"dow"
"0";"curse"
"1";"oath"
"0";"leave"
"0";"pardon"
"0";"election"
"4";"conditions"
"16";"pow"
"0";"wealth"
"2";"stray"
"0";"match"
"0";"beseech"
"2";"avert"
"2";"liking"
"2";"worthier"
"0";"wretch"
"3";"asham"
"0";"strange"
"1";"object"
"0";"argument"
"0";"praise"
"4";"balm"
"2";"trice"
"6";"commit"
"1";"monstrous"
"2";"dismantle"
"2";"folds"
"2";"favour"
"2";"offence"
"0";"unnatural"
"2";"degree"
"3";"monsters"
"0";"fore"
"0";"vouch"
"0";"affection"
"0";"taint"
"0";"faith"
"0";"reason"
"4";"miracle"
"0";"plant"
"2";"glib"
"2";"oily"
"0";"art"
"0";"intend"
"0";"vicious"
"2";"blot"
"6";"murther"
"2";"foulness"
"2";"unchaste"
"0";"action"
"2";"dishonoured"
"0";"step"
"2";"depriv"
"1";"soliciting"
"0";"glad"
"0";"lost"
"0";"hadst"
"2";"pleas"
"2";"tardiness"
"0";"leaves"
"0";"history"
"2";"unspoke"
"4";"intends"
"2";"mingled"
"0";"aloof"
"1";"entire"
"0";"point"
"1";"dowry"
"2";"portion"
"2";"propos"
"6";"duchess"
"0";"sworn"
"0";"firm"
"0";"respects"
"0";"fortune"
"1";"fairest"
"1";"forsaken"
"2";"despis"
"0";"virtues"
"0";"seize"
"1";"lawful"
"0";"cast"
"0";"cold"
"3";"neglect"
"2";"kindle"
"2";"inflam"
"0";"respect"
"2";"rless"
"0";"thrown"
"0";"chance"
"2";"queen"
"1";"wat"
"2";"rish"
"0";"buy"
"2";"unpriz"
"0";"bid"
"0";"farewell"
"0";"unkind"
"2";"losest"
"0";"face"
"4";"benison"
"1";"jewels"
"0";"wash"
"0";"eyes"
"2";"loath"
"1";"faults"
"2";"nam"
"1";"professed"
"2";"bosoms"
"0";"alas"
"2";"stood"
"1";"prefer"
"2";"prescribe"
"0";"content"
"4";"receiv"
"1";"alms"
"2";"obedience"
"4";"scanted"
"2";"wanted"
"0";"unfold"
"2";"plighted"
"0";"cunning"
"1";"hides"
"4";"cover"
"0";"shame"
"2";"derides"
"8";"prosper"
"2";"appertains"
"0";"month"
"1";"observation"
"0";"grossly"
"2";"infirmity"
"2";"slenderly"
"2";"soundest"
"0";"rash"
"0";"receive"
"1";"imperfections"
"2";"ingraffed"
"2";"condition"
"1";"therewithal"
"1";"unruly"
"2";"waywardness"
"4";"infirm"
"2";"choleric"
"0";"bring"
"2";"unconstant"
"1";"starts"
"2";"compliment"
"0";"pray"
"0";"hit"
"4";"authority"
"4";"dispositions"
"0";"bears"
"1";"surrender"
"1";"offend"
"0";"heat"
"10";"castle"
"2";"solus"
"0";"letter"
"4";"goddess"
"0";"wherefore"
"0";"stand"
"0";"plague"
"0";"custom"
"2";"permit"
"1";"nations"
"1";"deprive"
"1";"fourteen"
"2";"moonshines"
"2";"lag"
"0";"brother"
"3";"base"
"2";"dimensions"
"2";"compact"
"0";"mind"
"0";"generous"
"0";"honest"
"0";"madam"
"4";"brand"
"0";"baseness"
"2";"bastardy"
"0";"lusty"
"2";"stealth"
"2";"composition"
"4";"fierce"
"2";"quality"
"0";"dull"
"0";"stale"
"2";"tired"
"2";"creating"
"1";"tribe"
"2";"fops"
"0";"tween"
"0";"asleep"
"0";"wake"
"10";"legitimate"
"2";"land"
"0";"fine"
"0";"word"
"0";"speed"
"2";"thrive"
"0";"grow"
"2";"bastards"
"0";"choler"
"0";"parted"
"4";"subscrib"
"2";"confin"
"1";"exhibition"
"2";"gad"
"0";"news"
"0";"puts"
"2";"earnestly"
"0";"seek"
"0";"paper"
"1";"reading"
"2";"needed"
"2";"terrible"
"1";"dispatch"
"0";"pocket"
"0";"hide"
"2";"spectacles"
"0";"read"
"2";"perus"
"2";"erlooking"
"2";"detain"
"3";"contents"
"1";"understand"
"0";"blame"
"0";"hope"
"2";"justification"
"1";"wrote"
"2";"essay"
"0";"taste"
"0";"virtue"
"0";"reads"
"0";"policy"
"1";"reverence"
"0";"bitter"
"0";"times"
"2";"oldness"
"0";"relish"
"0";"idle"
"0";"fond"
"0";"bondage"
"0";"oppression"
"4";"aged"
"2";"tyranny"
"2";"sways"
"0";"suffer"
"0";"sleep"
"3";"wak"
"1";"enjoy"
"0";"live"
"0";"hum"
"2";"conspiracy"
"0";"write"
"0";"brain"
"0";"breed"
"0";"brought"
"2";"casement"
"0";"closet"
"2";"character"
"0";"fain"
"2";"sounded"
"0";"heard"
"0";"oft"
"8";"maintain"
"0";"perfect"
"1";"fathers"
"1";"declining"
"1";"ward"
"0";"manage"
"0";"villain"
"1";"opinion"
"0";"abhorred"
"6";"detested"
"4";"brutish"
"0";"worse"
"0";"sirrah"
"0";"apprehend"
"2";"abominable"
"4";"suspend"
"2";"indignation"
"2";"derive"
"2";"testimony"
"1";"violently"
"0";"proceed"
"1";"mistaking"
"2";"gap"
"0";"pieces"
"0";"writ"
"0";"feel"
"4";"pretence"
"0";"danger"
"0";"judge"
"0";"meet"
"2";"confer"
"2";"auricular"
"2";"assurance"
"0";"satisfaction"
"0";"delay"
"2";"evening"
"0";"monster"
"1";"tenderly"
"0";"loves"
"0";"heaven"
"0";"earth"
"0";"wind"
"0";"frame"
"0";"wisdom"
"2";"unstate"
"0";"resolution"
"0";"presently"
"1";"convey"
"0";"acquaint"
"0";"withal"
"0";"late"
"6";"eclipses"
"0";"moon"
"4";"portend"
"1";"finds"
"2";"scourg"
"0";"sequent"
"2";"cools"
"0";"friendship"
"0";"brothers"
"1";"divide"
"1";"cities"
"2";"mutinies"
"1";"countries"
"1";"discord"
"2";"palaces"
"0";"treason"
"2";"crack"
"0";"twixt"
"4";"prediction"
"1";"bias"
"2";"machinations"
"0";"treachery"
"2";"ruinous"
"4";"disorders"
"2";"disquietly"
"0";"graves"
"0";"carefully"
"0";"honesty"
"0";"excellent"
"2";"foppery"
"0";"sick"
"2";"surfeit"
"1";"behaviour"
"0";"guilty"
"1";"disasters"
"0";"stars"
"2";"villains"
"1";"necessity"
"0";"fools"
"0";"heavenly"
"2";"compulsion"
"0";"knaves"
"0";"thieves"
"2";"treachers"
"2";"spherical"
"2";"pre"
"2";"dominance"
"0";"drunkards"
"1";"liars"
"2";"adulterers"
"2";"enforc"
"2";"planetary"
"2";"influence"
"0";"divine"
"1";"thrusting"
"0";"admirable"
"2";"evasion"
"0";"whore"
"0";"lay"
"2";"goatish"
"0";"disposition"
"1";"star"
"1";"compounded"
"0";"tail"
"2";"nativity"
"2";"ursa"
"2";"major"
"0";"rough"
"1";"lecherous"
"2";"fut"
"2";"maidenliest"
"1";"firmament"
"2";"twinkled"
"2";"bastardizing"
"1";"pat"
"2";"catastrophe"
"1";"comedy"
"0";"cue"
"0";"villainous"
"0";"melancholy"
"0";"sigh"
"46";"tom"
"6";"bedlam"
"4";"divisions"
"2";"sol"
